baseline	height	x	y	sigma_x	sigma_y	fwhm_x	fwhm_y	fwhm	error_baseline	error_height	error_x	error_y	error_sigma_x	error_sigma_y	error_fwhm_x	error_fwhm_y	error_fwhm	slice
322.069	123.723	383.258	808.072	2.665	2.748	6.276	6.471	6.374	4.643	7.746	0.254	0.168	0.326	0.223	0.768	0.526	0.465	4
311.653	60.922	1241.537	1550.967	2.812	3.240	6.623	7.630	7.127	8.859	7.969	0.247	0.291	0.586	0.638	1.379	1.502	1.020	4
339.032	53.513	1092.092	1729.395	2.188	1.538	5.152	3.622	4.387	3.426	9.989	0.408	0.286	0.477	0.345	1.124	0.812	0.693	4
328.810	56.825	1143.665	1731.639	2.135	1.772	5.028	4.172	4.600	3.612	9.501	0.358	0.293	0.437	0.361	1.028	0.851	0.667	4
338.805	88.235	1111.731	1771.084	2.245	1.963	5.287	4.623	4.955	3.796	9.302	0.232	0.208	0.284	0.262	0.670	0.616	0.455	4
326.728	53.470	486.463	1940.327	1.958	2.233	4.611	5.259	4.935	4.016	8.372	0.303	0.347	0.403	0.452	0.949	1.064	0.713	4
332.631	58.341	966.470	1969.861	3.009	0.832	7.086	1.959	4.522	2.640	11.829	0.628	0.168	0.737	0.172	1.735	0.406	0.891	4
335.450	106.440	1270.942	345.901	3.116	2.784	7.339	6.555	6.947	5.401	7.713	0.343	0.217	0.446	0.315	1.049	0.741	0.642	4
334.435	56.938	277.756	403.961	2.196	2.488	5.171	5.858	5.514	6.059	8.895	0.329	0.376	0.512	0.559	1.206	1.317	0.893	4
350.454	78.309	803.150	700.961	0.767	1.969	1.806	4.636	3.221	2.640	15.603	0.160	0.401	0.153	0.424	0.361	0.998	0.531	4
344.303	90.060	657.838	703.845	2.567	1.926	6.044	4.534	5.289	4.193	9.452	0.298	0.197	0.387	0.249	0.912	0.586	0.542	4
318.285	59.327	1881.337	780.295	2.772	2.764	6.528	6.510	6.519	7.706	8.035	0.317	0.317	0.592	0.592	1.394	1.395	0.986	4
321.437	69.820	573.510	886.051	0.873	2.514	2.056	5.920	3.988	2.519	12.127	0.146	0.434	0.168	0.484	0.395	1.140	0.603	4
340.605	74.735	1974.532	926.520	3.008	2.327	7.083	5.481	6.282	5.534	7.992	0.412	0.237	0.583	0.352	1.372	0.828	0.801	4
321.067	58.264	1654.892	1417.527	2.365	2.317	5.569	5.457	5.513	5.225	8.152	0.322	0.313	0.473	0.460	1.113	1.083	0.777	4
327.039	54.853	354.889	1514.284	1.588	1.938	3.740	4.565	4.152	3.285	10.436	0.302	0.369	0.355	0.427	0.835	1.006	0.654	4
314.192	59.085	292.164	1595.583	3.103	3.064	7.306	7.216	7.261	10.254	9.249	0.337	0.326	0.754	0.733	1.776	1.726	1.238	4
316.060	59.205	937.031	1637.451	2.776	3.640	6.536	8.571	7.554	10.396	9.317	0.285	0.461	0.674	0.936	1.587	2.204	1.358	4
339.587	106.002	1163.118	1753.787	3.727	3.898	8.777	9.178	8.978	10.763	9.771	0.387	0.272	0.669	0.529	1.576	1.245	1.004	4
313.693	53.029	47.707	1850.123	2.278	2.350	5.365	5.533	5.449	5.691	8.508	0.354	0.365	0.536	0.548	1.263	1.290	0.903	4
317.877	60.840	125.379	1909.652	1.520	2.205	3.579	5.192	4.385	3.113	9.186	0.228	0.332	0.274	0.388	0.646	0.914	0.560	4
307.758	48.653	1961.266	171.915	2.386	2.177	5.619	5.126	5.373	5.469	8.868	0.427	0.385	0.612	0.566	1.441	1.332	0.981	4
324.794	54.436	721.797	324.848	1.507	2.673	3.549	6.294	4.922	3.534	9.251	0.251	0.459	0.312	0.558	0.735	1.315	0.753	4
324.325	60.832	996.575	437.074	2.083	2.866	4.904	6.748	5.826	4.701	8.127	0.265	0.383	0.376	0.525	0.886	1.236	0.760	4
319.194	54.237	1796.079	439.168	2.400	2.391	5.653	5.629	5.641	7.235	9.748	0.410	0.408	0.652	0.650	1.534	1.531	1.084	4
321.824	63.466	1506.652	440.220	3.017	2.960	7.103	6.970	7.037	10.079	9.098	0.305	0.293	0.682	0.660	1.606	1.554	1.117	4
310.979	61.023	501.680	459.263	3.040	2.071	7.158	4.877	6.018	4.460	7.038	0.337	0.223	0.475	0.334	1.119	0.786	0.684	4
325.247	53.575	151.152	779.909	2.520	2.106	5.935	4.960	5.448	4.850	7.839	0.363	0.297	0.517	0.442	1.218	1.040	0.801	4
323.541	152.223	390.781	1307.148	2.677	2.167	6.303	5.103	5.703	3.927	8.466	0.167	0.122	0.217	0.159	0.511	0.374	0.317	4
322.734	67.407	581.639	1323.158	3.894	3.049	9.170	7.179	8.174	10.852	9.709	0.346	0.256	0.774	0.650	1.824	1.530	1.190	4
322.412	63.864	462.934	1435.883	1.599	1.745	3.765	4.110	3.938	3.252	11.411	0.285	0.312	0.327	0.355	0.771	0.835	0.568	4
