n	ChainAxis	ChainDia	CellAxis	DiaP	CellDiaM	GFPfluor	GFPMean	GFPMax	GFPMid	allSepta	manSepta	manTrace	Thr	startX	startY	barX	barY	barW	barH	SeptaPos	ParentID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Frame
227	7.5013	0.8318											11295.9453	1872.0000	940.0000	30	1800	151	33	67 	-227																							57
228	2.0385	0.6392											11295.9453	1278.0000	1242.0000	211	1800	41	33		-228																							57
229	5.0114	0.8958											11295.9453	1998.0000	1432.0000	282	1800	101	33	53.01 	-229																							57
230	14.3339	0.8089											11295.9453	672.0000	1481.0000	413	1800	287	33	65 143.01 	-230																							57
231			3.0422	0.591900	0.5994											30	0	61	33		1	63.9172	63.5095	63.0975	62.6740	62.2566	62.7498	63.1667	63.5918	64.0077	64.4173	63.9172	20.5497	19.9054	19.2719	18.6373	18.0086	17.6812	18.3094	18.9462	19.5858	20.2332	20.5497	1
232			2.4975	0.591900	0.5994											91	0	50	33		1	65.2066	64.8735	64.5438	64.2267	63.9123	64.4222	64.7369	65.0511	65.3766	65.7090	65.2066	22.6860	22.1512	21.6163	21.0750	20.5417	20.2412	20.7751	21.3114	21.8394	22.3730	22.6860	1
233			0.6794	0.591900												141	0	14	33		1	65.5548	65.4646	65.3770	65.2893	65.2043	65.7114	65.7964	65.8840	65.9716	66.0618	65.5548	23.2642	23.1144	22.9689	22.8234	22.6822	22.3768	22.5180	22.6635	22.8090	22.9588	23.2642	1
234			1.1439	0.839300	0.6994											185	0	23	33		2	18.3551	18.2622	18.1689	18.0718	17.9777	18.7681	18.8622	18.9600	19.0554	19.1495	18.3551	20.5079	20.2355	19.9698	19.6979	19.4345	19.1522	19.4156	19.6895	19.9610	20.2371	20.5079	1
235			2.4476	0.839300	0.1998											208	0	49	33		2	19.0134	18.8622	18.7002	18.5337	18.3524	19.1522	19.3373	19.5082	19.6734	19.8266	19.0134	22.8306	22.2393	21.6526	21.0696	20.4998	20.2452	20.8271	21.4257	22.0236	22.6227	22.8306	1
236			3.7959	0.839300	0.4246											257	0	76	33		2	20.2239	19.9417	19.6468	19.3198	19.0215	19.8184	20.1125	20.4393	20.7409	21.0254	20.2239	26.4503	25.5428	24.6519	23.7608	22.8584	22.5950	23.4845	24.3754	25.2863	26.2010	26.4503	1
237			4.2897	0.629900	0.7493											363	0	86	33		3	67.4886	67.0353	66.6002	66.1914	65.7732	66.3527	66.7725	67.1799	67.6093	68.0599	67.4886	27.7739	26.7980	25.8083	24.8133	23.8317	23.5848	24.5702	25.5618	26.5385	27.5085	27.7739	1
238			3.3351	0.629900	0.5495											449	0	67	33		3	68.6140	68.2653	67.9948	67.7463	67.4766	68.0718	68.3447	68.5942	68.8529	69.1889	68.6140	30.9051	30.1264	29.3177	28.5231	27.7443	27.5382	28.3260	29.1238	29.8972	30.6476	30.9051	1
239			1.9929	0.676500	1.2239											546	0	40	33		4	66.9981	66.8190	66.6314	66.4492	66.2696	66.8999	67.0795	67.2600	67.4479	67.6290	66.9981	29.3289	28.8658	28.4033	27.9357	27.4749	27.2293	27.6900	28.1533	28.6167	29.0849	29.3289	1
240			2.7474	0.676500	0.7743											586	0	55	33		4	67.9561	67.6996	67.4503	67.2125	66.9932	67.6339	67.8508	68.0839	68.3295	68.5843	67.9561	31.9073	31.2651	30.6167	29.9624	29.3155	29.0983	29.7383	30.3798	31.0182	31.6564	31.9073	1
241			3.6411	0.809600	0.3996											671	0	73	33		5	1.8755	1.5932	1.3450	1.1317	0.9765	1.7743	1.9254	2.1294	2.3688	2.6462	1.8755	36.4020	35.5241	34.6327	33.7230	32.8200	32.6828	33.5619	34.4316	35.2915	36.1542	36.4020	1
242			1.6984	0.809600	0.5328											744	0	34	33		5	2.3373	2.2318	2.1173	1.9999	1.8748	2.6468	2.7745	2.8951	3.0133	3.1214	2.3373	38.0109	37.5999	37.1980	36.7959	36.4000	36.1561	36.5605	36.9736	37.3883	37.8096	38.0109	1
243			1.5984	0.809600	0.4995											778	0	32	33		5	2.8013	2.6712	2.5505	2.4402	2.3381	3.1205	3.2212	3.3271	3.4419	3.5689	2.8013	39.5704	39.1821	38.7908	38.3984	38.0142	37.8063	38.1849	38.5619	38.9341	39.3132	39.5704	1
